deviceID	fromDate	toDate	consumption	userID
1949724277-Overall	7/1/2015 0:10	7/1/2015 0:11	322	25
1870305884-Overall	7/1/2015 0:10	7/1/2015 0:11	189	28
1454442161-Overall	7/1/2015 0:10	7/1/2015 0:11	151	21
908983910-Overall	7/1/2015 0:10	7/1/2015 0:11	59	22
687157380-Overall	7/1/2015 0:10	7/1/2015 0:11	851	23
1741156914-Overall	7/1/2015 0:10	7/1/2015 0:11	330	24
167203295-Overall	7/1/2015 0:10	7/1/2015 0:11	801	29
331804188-Overall	7/1/2015 0:10	7/1/2015 0:11	338	32
1275104184-Overall	7/1/2015 0:10	7/1/2015 0:11	1283	35
77863289-Overall	7/1/2015 0:10	7/1/2015 0:11	89	36
77863289-Overall	7/1/2015 0:11	7/1/2015 0:12	89	36
1275104184-Overall	7/1/2015 0:11	7/1/2015 0:12	3037	35
1870305884-Overall	7/1/2015 0:11	7/1/2015 0:12	191	28
1949724277-Overall	7/1/2015 0:11	7/1/2015 0:12	321	25
1144586020-Overall	7/1/2015 0:11	7/1/2015 0:12	653	38
782435385-Overall	7/1/2015 0:11	7/1/2015 0:12	2331	37
1951210032-Overall	7/1/2015 0:11	7/1/2015 0:12	937	39
331804188-Overall	7/1/2015 0:11	7/1/2015 0:12	337	32
167203295-Overall	7/1/2015 0:11	7/1/2015 0:12	787	29
908983910-Overall	7/1/2015 0:11	7/1/2015 0:12	61	22
1454442161-Overall	7/1/2015 0:11	7/1/2015 0:12	145	21
1741156914-Overall	7/1/2015 0:11	7/1/2015 0:12	330	24
687157380-Overall	7/1/2015 0:11	7/1/2015 0:12	854	23
687157380-Overall	7/1/2015 0:12	7/1/2015 0:13	858	23
1741156914-Overall	7/1/2015 0:12	7/1/2015 0:13	324	24
782435385-Overall	7/1/2015 0:12	7/1/2015 0:13	2330	37
1144586020-Overall	7/1/2015 0:12	7/1/2015 0:13	654	38
1275104184-Overall	7/1/2015 0:12	7/1/2015 0:13	3033	35
77863289-Overall	7/1/2015 0:12	7/1/2015 0:13	87	36
1949724277-Overall	7/1/2015 0:12	7/1/2015 0:13	328	25
1870305884-Overall	7/1/2015 0:12	7/1/2015 0:13	192	28
1454442161-Overall	7/1/2015 0:12	7/1/2015 0:13	148	21
908983910-Overall	7/1/2015 0:12	7/1/2015 0:13	59	22
1951210032-Overall	7/1/2015 0:12	7/1/2015 0:13	937	39
167203295-Overall	7/1/2015 0:12	7/1/2015 0:13	833	29
331804188-Overall	7/1/2015 0:12	7/1/2015 0:13	337	32
331804188-Overall	7/1/2015 0:13	7/1/2015 0:14	336	32
167203295-Overall	7/1/2015 0:13	7/1/2015 0:14	774	29
77863289-Overall	7/1/2015 0:13	7/1/2015 0:14	92	36
1275104184-Overall	7/1/2015 0:13	7/1/2015 0:14	3071	35
1741156914-Overall	7/1/2015 0:13	7/1/2015 0:14	794	24
687157380-Overall	7/1/2015 0:13	7/1/2015 0:14	851	23
1144586020-Overall	7/1/2015 0:13	7/1/2015 0:14	654	38
782435385-Overall	7/1/2015 0:13	7/1/2015 0:14	2258	37
1951210032-Overall	7/1/2015 0:13	7/1/2015 0:14	937	39
1870305884-Overall	7/1/2015 0:13	7/1/2015 0:14	190	28
1949724277-Overall	7/1/2015 0:13	7/1/2015 0:14	314	25
908983910-Overall	7/1/2015 0:13	7/1/2015 0:14	58	22
1454442161-Overall	7/1/2015 0:13	7/1/2015 0:14	148	21
1454442161-Overall	7/1/2015 0:14	7/1/2015 0:15	158	21
908983910-Overall	7/1/2015 0:14	7/1/2015 0:15	57	22
687157380-Overall	7/1/2015 0:14	7/1/2015 0:15	850	23
1741156914-Overall	7/1/2015 0:14	7/1/2015 0:15	1916	24
167203295-Overall	7/1/2015 0:14	7/1/2015 0:15	763	29
331804188-Overall	7/1/2015 0:14	7/1/2015 0:15	335	32
1275104184-Overall	7/1/2015 0:14	7/1/2015 0:15	3073	35
77863289-Overall	7/1/2015 0:14	7/1/2015 0:15	87	36
1949724277-Overall	7/1/2015 0:14	7/1/2015 0:15	332	25
1870305884-Overall	7/1/2015 0:14	7/1/2015 0:15	192	28
782435385-Overall	7/1/2015 0:14	7/1/2015 0:15	2209	37
1144586020-Overall	7/1/2015 0:14	7/1/2015 0:15	654	38
1951210032-Overall	7/1/2015 0:14	7/1/2015 0:15	939	39
1951210032-Overall	7/1/2015 0:15	7/1/2015 0:16	938	39
331804188-Overall	7/1/2015 0:15	7/1/2015 0:16	334	32
167203295-Overall	7/1/2015 0:15	7/1/2015 0:16	741	29
908983910-Overall	7/1/2015 0:15	7/1/2015 0:16	56	22
1454442161-Overall	7/1/2015 0:15	7/1/2015 0:16	159	21
1741156914-Overall	7/1/2015 0:15	7/1/2015 0:16	1940	24
687157380-Overall	7/1/2015 0:15	7/1/2015 0:16	852	23
1144586020-Overall	7/1/2015 0:15	7/1/2015 0:16	653	38
782435385-Overall	7/1/2015 0:15	7/1/2015 0:16	2213	37
77863289-Overall	7/1/2015 0:15	7/1/2015 0:16	90	36
1275104184-Overall	7/1/2015 0:15	7/1/2015 0:16	2841	35
1870305884-Overall	7/1/2015 0:15	7/1/2015 0:16	190	28
1949724277-Overall	7/1/2015 0:15	7/1/2015 0:16	308	25
1949724277-Overall	7/1/2015 0:16	7/1/2015 0:17	343	25
1870305884-Overall	7/1/2015 0:16	7/1/2015 0:17	191	28
1454442161-Overall	7/1/2015 0:16	7/1/2015 0:17	154	21
908983910-Overall	7/1/2015 0:16	7/1/2015 0:17	59	22
1951210032-Overall	7/1/2015 0:16	7/1/2015 0:17	1000	39
167203295-Overall	7/1/2015 0:16	7/1/2015 0:17	760	29
331804188-Overall	7/1/2015 0:16	7/1/2015 0:17	335	32
1275104184-Overall	7/1/2015 0:16	7/1/2015 0:17	665	35
77863289-Overall	7/1/2015 0:16	7/1/2015 0:17	91	36
687157380-Overall	7/1/2015 0:16	7/1/2015 0:17	831	23
1741156914-Overall	7/1/2015 0:16	7/1/2015 0:17	1911	24
782435385-Overall	7/1/2015 0:16	7/1/2015 0:17	2269	37
1144586020-Overall	7/1/2015 0:16	7/1/2015 0:17	652	38
